clip_id,final_x_offset,final_y_offset,scenario
6c754d15-b146-4b72-90cc-23d7d0b3688d,96.496,40.664,Turn Left / Lane Change Left
0302ca61-697d-48e7-9202-f300bb151cde,56.678,0.220,Keep Lane / Straight
79fd94b2-100a-45bd-8b6f-786e50e12a47,0.883,-0.001,Keep Lane / Straight
6c26eb61-67c9-472d-96f6-b3c77fa995d5,19.939,0.047,Keep Lane / Straight
9e363f53-9bb8-46de-b28f-6a786affd489,67.822,-0.481,Keep Lane / Straight
b03ff6e9-8cb1-4ed8-9b4f-ccc85d93d1c9,120.811,-3.713,Turn Right / Lane Change Right
69d63d61-f93f-41a0-81cf-53c53bb914c1,81.049,0.081,Keep Lane / Straight
155bcd86-bc66-48ce-95ac-b6d38f7a3b2a,71.224,-2.049,Keep Lane / Straight
6fbf8990-3b7b-471a-b1eb-b1134a9cd14d,30.070,6.364,Turn Left / Lane Change Left
a9b34f5d-52ee-415d-8141-ee79643e8860,85.333,-1.048,Keep Lane / Straight
f629d53b-4289-4c4a-a5e5-81eb282efb33,94.090,-2.881,Turn Right / Lane Change Right
3a14788f-aa2f-453f-afef-ef6cb3c529ac,19.549,-30.406,Turn Right / Lane Change Right
98403541-f0a6-485f-aabf-a7bb5ec13fa0,82.469,-0.067,Keep Lane / Straight
a8fcdd95-06f7-4d2b-b241-042a9d88aede,100.294,-7.908,Turn Right / Lane Change Right
21c7045f-4547-42ba-bd3c-ed2370a0206e,0.118,0.000,Keep Lane / Straight
f182d973-be7c-49ea-8e37-c19695428a48,120.376,-4.103,Turn Right / Lane Change Right
53d4d010-aa49-447b-a751-a9342cbfbc56,70.755,0.167,Keep Lane / Straight
84ea26fc-59b5-4a08-8157-f3fb8af1236b,29.749,46.507,Turn Left / Lane Change Left
2ef51533-bc78-4f34-9be7-6dbf8dc03896,73.430,-4.532,Turn Right / Lane Change Right
db4bbc52-252c-4767-80ec-31480b6ab2d2,164.049,-1.649,Keep Lane / Straight
f5b81dd0-91b0-44d6-a00c-354be8300252,77.244,-0.123,Keep Lane / Straight
e5874477-deef-4360-b030-42a1cb37e110,83.497,0.044,Keep Lane / Straight
1f1758cc-0f3d-4458-9629-41aab34df4ba,7.872,-2.708,Turn Right / Lane Change Right
0a23deb1-f525-422a-abb3-cc622bb8b82e,38.333,-0.298,Keep Lane / Straight
5ad96ba5-5ed6-4c20-981d-e8551c4301f4,114.588,17.993,Turn Left / Lane Change Left
39945df2-c07d-4e17-b353-ff256bb74f53,48.138,16.172,Turn Left / Lane Change Left
117d3e21-a203-4198-84ed-e40c96741629,60.923,27.941,Turn Left / Lane Change Left
25bc11b5-b599-4a83-abc7-3914741997c1,56.786,-33.383,Turn Right / Lane Change Right
103488c3-47a6-4f3e-b8e2-a200fbbd3d2b,65.473,-2.360,Keep Lane / Straight
59609856-668f-4bb9-9ce3-a0a257a26954,72.405,17.719,Turn Left / Lane Change Left
9c833fea-3b9c-4135-b13d-578b665c61b0,130.569,-0.748,Keep Lane / Straight
5b865fb7-d609-4a98-91a5-ebb00aa3ee00,16.821,34.332,Turn Left / Lane Change Left
0e217742-f3fb-4c26-8f30-09b1362515d0,69.297,22.991,Turn Left / Lane Change Left
a25049d9-acb6-4aad-bfaf-109822d04f4b,2.245,-0.004,Keep Lane / Straight
f86e6ee2-1194-40fe-b1db-5e2c1f739403,8.886,0.014,Keep Lane / Straight
47a4e30b-85db-43cf-b3f7-7f95bf0d47fc,18.077,0.912,Keep Lane / Straight
da28084a-9224-4cae-8f99-a518b984fcdd,3.198,-0.508,Keep Lane / Straight
2db833a9-dd8a-4e70-a1ae-e4adb24f9ac9,6.250,0.000,Keep Lane / Straight
53e707bb-f62d-46ec-a5d3-1923a44d5590,47.395,3.016,Turn Left / Lane Change Left
7a8d95e6-737e-40f1-9748-3f119fbb6873,12.605,-21.515,Turn Right / Lane Change Right
44c9a023-613e-4a6a-84cb-a881fdcd845e,81.340,0.121,Keep Lane / Straight
4797bf7e-10fa-4330-8287-04d3d7d3c040,9.740,-10.671,Turn Right / Lane Change Right
441c5635-0546-4361-bba3-6facda6081af,61.725,-3.565,Turn Right / Lane Change Right
901bd9b3-7c1e-4710-9336-15bd6bfe2b9a,24.489,-4.634,Turn Right / Lane Change Right
13b90b90-37c4-4334-a755-8de00cd905d2,1.028,-0.005,Keep Lane / Straight
beaa0395-8366-4d02-bbad-71de854ac271,36.797,-0.173,Keep Lane / Straight
39c5bd3e-57d7-4d76-b823-b4a8f047bef8,93.153,-22.073,Turn Right / Lane Change Right
87811ba9-bd44-4dae-83a0-b1ec166e15ae,16.539,0.162,Keep Lane / Straight
17233208-b296-4bd7-b779-b0152f40a5a7,42.833,17.037,Turn Left / Lane Change Left
2406c17b-421d-4912-a308-4811194d4e47,33.821,-20.529,Turn Right / Lane Change Right
9fc15f8c-5974-4a8f-a0d1-b64539474ed7,33.731,35.882,Turn Left / Lane Change Left
33509f94-5f7a-456c-a40d-a7612b26b5cc,25.522,28.477,Turn Left / Lane Change Left
76457f13-8cde-4d41-b2da-def43a7aa8e6,47.965,6.456,Turn Left / Lane Change Left
256cd9b0-573b-4025-8223-0e151ab7d0dd,4.743,-0.009,Keep Lane / Straight
e5b35810-ab25-449a-a9c6-281fc0bea33c,49.722,49.647,Turn Left / Lane Change Left
6a8314aa-2d7a-4b15-82eb-ef0cb82aafb5,58.541,1.043,Keep Lane / Straight
02503c41-0179-4bdc-ba22-496c39dac0c6,91.819,16.714,Turn Left / Lane Change Left
a1dc5db9-ce7f-4a1a-bcce-7ea1f48214c8,17.285,0.044,Keep Lane / Straight
68c7c3e4-2d76-4ccc-b71b-cdf50a6604bb,8.898,-0.543,Keep Lane / Straight
6bce6ca2-2620-42e1-b2e2-a0ce166d9f47,12.821,-0.050,Keep Lane / Straight
0c060b6e-3398-46ae-83ec-71180cce812c,31.694,0.320,Keep Lane / Straight
719637fa-ee87-468c-829e-1b4ca67f3c38,56.926,-0.480,Keep Lane / Straight
81267367-f4c4-413e-9b4c-d05b7e1d7133,81.074,41.917,Turn Left / Lane Change Left
9ba39318-a0af-4e0e-a9a5-5d67ca90eca5,158.743,-1.203,Keep Lane / Straight
1a4d0380-2108-4d87-84ba-6c0d6f165de1,24.408,-20.701,Turn Right / Lane Change Right
1acf32f1-60bb-4bc9-9cf8-c971c9314a4d,21.260,1.805,Keep Lane / Straight
0030d369-eaa5-485d-b42c-91dad56ff97c,50.003,17.368,Turn Left / Lane Change Left
ba4de9d1-7440-4f44-bb62-6dffc5d5cd20,47.905,-47.525,Turn Right / Lane Change Right
a3809371-7d30-4b5e-b31f-08ed098bcf22,109.360,0.527,Keep Lane / Straight
8b58d008-ad95-4992-9697-790551011c62,23.847,0.104,Keep Lane / Straight
36dcad6f-63f7-4c68-bee4-7c52ad0c5400,39.647,-36.819,Turn Right / Lane Change Right
8962e989-a8ac-4333-842d-9fb5e2d1711d,0.135,0.000,Keep Lane / Straight
367b8b13-4400-4cfe-9462-ea9686c53c15,68.650,15.242,Turn Left / Lane Change Left
acab9d6b-b7a6-4f02-9fcd-7496e707b7ba,18.232,-33.873,Turn Right / Lane Change Right
f1aa1e19-8fb6-44f3-a445-e8dae109ce37,28.690,-26.508,Turn Right / Lane Change Right
a1d6ed12-bfe9-4309-bffc-86714ae9babf,82.518,0.058,Keep Lane / Straight
dad0d8e2-26b8-4b95-96c2-90eea2707842,59.078,-0.149,Keep Lane / Straight
48ade625-65c7-46bf-9855-0902817014f1,17.451,0.285,Keep Lane / Straight
f53cae64-e8cb-4215-8d9f-c34cee5876ac,38.853,2.367,Keep Lane / Straight
db3ebbbd-04b7-4a83-8ec8-46137e2e52b7,57.352,0.288,Keep Lane / Straight
2338701d-6b52-4a61-997f-c9e496482135,69.639,1.259,Keep Lane / Straight
8c50a325-ac9c-4426-9a2f-7d1cafbb5194,18.629,-0.094,Keep Lane / Straight
76e1ac85-1f22-4a44-9b84-c71c52f6f11e,77.982,0.828,Keep Lane / Straight
6c70af9e-3924-4c07-9ffb-6fb4fbced52e,51.068,1.403,Keep Lane / Straight
773632d5-e215-4d15-9880-b6ca5c2a28da,38.304,12.198,Turn Left / Lane Change Left
4203c4e4-ffb4-4898-87ef-c5b42420d0ca,71.645,0.079,Keep Lane / Straight
a7d465de-fbc9-4b79-bf45-b92e5ba047b0,0.000,0.000,Keep Lane / Straight
de98e483-fe6d-4e4f-a521-cc4d04bb80b7,104.105,0.845,Keep Lane / Straight
b40e11d8-d6d3-4928-b4df-56a8e6e3af04,41.451,1.111,Keep Lane / Straight
25f25943-af64-41fc-be75-f1ef586942ba,62.030,2.282,Keep Lane / Straight
8ddb7115-1876-4aaa-9203-ed54324abea6,58.285,1.523,Keep Lane / Straight
b5a852a2-e29f-4e91-a2c3-ca4f21f37817,11.986,-0.328,Keep Lane / Straight
dca2a944-e65c-4b7f-8637-74602a73e2bb,8.175,-0.030,Keep Lane / Straight
93793b24-18d2-4547-91e1-0f5890593f61,23.176,0.215,Keep Lane / Straight
8430b5a4-322d-47de-b4b0-686da7dfe026,60.640,5.283,Turn Left / Lane Change Left
69b0ac1d-406b-40da-ac36-b0abc52e7c7b,2.993,0.005,Keep Lane / Straight
3a12f31e-1a51-42ab-bfee-e230a8170078,77.935,-0.897,Keep Lane / Straight
d24b1639-6b5a-4ff2-9745-47eb5b367811,72.100,1.679,Keep Lane / Straight
be5d489b-6632-4b16-ac5b-f9fa10966dca,56.598,-22.698,Turn Right / Lane Change Right
4c6870e1-fa13-4747-8d4f-91ff1cfeae19,48.942,2.827,Turn Left / Lane Change Left
a3ec77a4-3e10-478c-9e1b-6393287cb057,20.074,18.145,Turn Left / Lane Change Left
017cfe6e-c4c3-4df6-bd27-5700ebd2d6e3,24.063,0.950,Keep Lane / Straight
3c94f5ce-f5b1-4236-a503-6d1d58ac6f13,67.554,0.595,Keep Lane / Straight
b8f9238c-1884-4889-ac0e-e5fb2d718faf,69.242,-0.811,Keep Lane / Straight
4268341e-31ed-4e8a-b2e1-5db2692871be,24.621,-0.321,Keep Lane / Straight
b650f32a-2490-4aea-b99f-b9e7f44e1cf0,37.623,0.605,Keep Lane / Straight
1532a1ee-2816-49ee-95a0-190857d75752,53.478,-2.701,Turn Right / Lane Change Right
90d851c7-b7d4-4f6f-bb88-0637ec423aef,33.497,-0.925,Keep Lane / Straight
2c629ca3-e0e2-4fd9-b73d-56d8fe6fbc70,18.936,0.010,Keep Lane / Straight
0810649d-f08a-4b3b-8e1b-c6c6eaef592e,28.392,6.512,Turn Left / Lane Change Left
76b2e219-3360-4e01-9ad3-75c85bfbaa7e,69.122,1.006,Keep Lane / Straight
a28a03c0-927f-4ecd-92f0-959b5f606b88,59.172,27.869,Turn Left / Lane Change Left
8362a239-e201-4b38-bd61-b6bba2193976,4.682,-0.022,Keep Lane / Straight
ba4ce69e-8a13-4316-91b2-bbb49eb132af,58.399,3.946,Turn Left / Lane Change Left
7a83cd86-528e-43f7-8624-60765916fbe9,50.903,1.798,Keep Lane / Straight
5752b5d3-55ac-4045-a5b9-40b082e560d9,29.464,-0.179,Keep Lane / Straight
b137cb60-2a68-4569-aa19-0552e86810c9,91.489,-0.120,Keep Lane / Straight
4c2d9b7f-bc5c-4a7a-9982-19deb7754b1a,60.680,-16.068,Turn Right / Lane Change Right
2886f3db-0f25-478d-a30c-b9a5e9524485,3.326,-0.040,Keep Lane / Straight
353d9f55-1e5a-4cae-9af8-38fd7e74028e,96.311,-1.463,Keep Lane / Straight
08199ee0-bc1f-4fd4-aa60-757099f9e36a,58.425,-0.086,Keep Lane / Straight
d533eba6-efb5-40e3-8af4-26dae53eb547,3.502,12.494,Turn Left / Lane Change Left
0aa1fefd-b242-41b2-97f8-4b3f5de94f0c,91.253,-16.764,Turn Right / Lane Change Right
6ac27e12-6237-4938-94cc-ce4b1c587c37,63.838,-7.335,Turn Right / Lane Change Right
b6cb2e57-39ba-491e-9c9f-ffcfba1e5144,79.696,7.067,Turn Left / Lane Change Left
72c10fcc-d97c-4a5b-9a6b-c8939b1a658b,67.723,0.975,Keep Lane / Straight
881fd602-5866-471e-9b07-37f424939aa0,64.250,2.067,Keep Lane / Straight
3b997a5e-bc49-4aa6-bf4d-b0fb5673b2f4,50.033,1.020,Keep Lane / Straight
a4bd734c-0961-4bc6-8fc8-1be12fe49ab6,42.785,-0.130,Keep Lane / Straight
a1e769e3-17d4-4d99-9af1-70ece4ee83f1,72.668,14.473,Turn Left / Lane Change Left
15a6d152-3001-4c7d-bde2-45537acb1340,56.337,-20.411,Turn Right / Lane Change Right
b759bec3-282e-42b5-8aad-66522b33c11d,47.273,-1.198,Keep Lane / Straight
39a86659-4551-4975-af90-592cf2a72fa7,21.957,-38.988,Turn Right / Lane Change Right
b3a05a8b-035c-4f6f-b9d4-2505de76f665,142.023,-0.941,Keep Lane / Straight
12f085c7-58d1-41ce-bd93-12a165c8f784,48.643,-0.475,Keep Lane / Straight
5a321b88-3600-43ae-9cb5-61d5366081b9,24.410,-26.270,Turn Right / Lane Change Right
7a28def7-7162-4072-bf69-b87df7741d25,36.762,2.508,Turn Left / Lane Change Left
fee74e5f-f5e5-4545-931c-316bd9940dbe,4.365,0.002,Keep Lane / Straight
4eb8cfd8-0173-4139-beb8-fd11b5d199a2,-12.842,33.031,Turn Left / Lane Change Left
63b0df66-67e7-45d4-a01c-02759670e0c8,20.945,39.632,Turn Left / Lane Change Left
4653bd68-43fe-4033-a913-50594a3d105b,16.552,-28.984,Turn Right / Lane Change Right
1dc8fcb1-fb86-4bfb-9ab9-15ca1f8993bf,130.919,-2.799,Turn Right / Lane Change Right
9402b327-9a8d-4df0-af3f-157b2975d605,22.845,-3.239,Turn Right / Lane Change Right
73e0ad6a-87b2-4edc-bb83-3a1ce852f8a6,19.474,1.089,Keep Lane / Straight
65ab71f8-d60b-4ece-bfdf-8a63c429e770,29.562,1.762,Keep Lane / Straight
1aa9200b-6453-416a-8bc7-e476497e1a7d,19.024,0.585,Keep Lane / Straight
e3bfa3c4-a399-4d34-b210-02aafa4508c0,74.350,-0.574,Keep Lane / Straight
8598b8a2-57e2-4d4c-be05-1cb8297c4f37,17.745,0.672,Keep Lane / Straight
02bb2ca6-9c76-4b20-8c83-aee77836cced,17.601,-7.854,Turn Right / Lane Change Right
324edddc-45f7-4319-abf2-ad83a42b0071,20.785,51.011,Turn Left / Lane Change Left
1ea2f29e-e4c8-455d-85ed-703cb7cdd0cc,19.108,-0.014,Keep Lane / Straight
671ed96a-7a5b-448a-bdac-10620bd2bfb9,32.493,-1.169,Keep Lane / Straight
3dac5abe-a491-4616-b926-001abfa623a5,78.232,-40.986,Turn Right / Lane Change Right
ea3a17d8-26ae-456a-9e4d-40b9e84bcaf0,75.595,0.627,Keep Lane / Straight
4165b24b-2772-41c9-b374-c87a9476ce35,81.602,16.294,Turn Left / Lane Change Left
e010d318-0676-4a0c-9175-78efea006ddf,12.084,-0.132,Keep Lane / Straight
9759b564-ec2c-425d-8533-bfe2b9d4bc9b,86.748,25.514,Turn Left / Lane Change Left
d0af2d91-9545-408f-b15a-20932adc0f36,48.290,4.815,Turn Left / Lane Change Left
e164db3f-8612-48cb-b7ab-2b67e0666555,116.388,-4.361,Turn Right / Lane Change Right
a307bdac-c080-419a-87fa-7fa4cf1bca19,154.684,-24.229,Turn Right / Lane Change Right
0abcbe23-f8e2-47ee-9a6b-b53b5da64b69,114.561,-3.603,Turn Right / Lane Change Right
fe4de047-6871-476e-b2cf-65921ff4dca2,61.673,2.962,Turn Left / Lane Change Left
7a6bcc24-7fc0-4f7c-bf0d-50085f688cfd,47.294,0.140,Keep Lane / Straight
5e95fec8-b4e8-4bb6-8241-ba39445296d9,70.068,-51.617,Turn Right / Lane Change Right
22d99c05-2fa8-4aca-b22a-62d77835c034,171.225,-15.470,Turn Right / Lane Change Right
cfd747b8-62cb-4b41-ab66-5deda341bf26,104.526,8.813,Turn Left / Lane Change Left
8883a323-f896-4d2b-bb48-06741b695e20,105.236,-3.115,Turn Right / Lane Change Right
74858cde-3482-4184-99e8-5f504d6384fe,95.394,-2.125,Keep Lane / Straight
01e98791-f64c-4516-ba29-1679a1877f34,-8.082,-35.157,Turn Right / Lane Change Right
a8340a95-e60a-46d2-b912-da24188d3efc,69.301,0.626,Keep Lane / Straight
e4be9109-4214-4018-a86f-390dcdbe29d0,66.184,-0.247,Keep Lane / Straight
d55e0dd0-7bff-44b4-8fd5-77775f5dcb73,75.234,4.912,Turn Left / Lane Change Left
4918e0ad-e7ab-421e-bae7-61bfb7543f34,90.930,-0.437,Keep Lane / Straight
dcdd8587-aae5-4380-a2a5-890b84b40787,33.017,0.070,Keep Lane / Straight
5a6c6509-73a1-43cc-97c9-d3ab8d6d6252,76.365,0.391,Keep Lane / Straight
384d5f70-d509-45c3-bf7d-c60c94d689f5,15.476,-33.372,Turn Right / Lane Change Right
ff663291-1796-4426-b1d0-3df87c43a575,41.935,-0.010,Keep Lane / Straight
f4f82af0-459c-45fb-b2f3-6e4bae6c8459,25.825,-0.072,Keep Lane / Straight
791a752b-a10a-4828-9e70-190e09648fd2,37.865,-0.104,Keep Lane / Straight
a2391c74-f0ca-4d6e-a179-395c322b0578,0.000,0.000,Keep Lane / Straight
96425b1d-bfdd-4b4f-ae95-2be804b86152,28.378,-42.709,Turn Right / Lane Change Right
8a308042-f3b3-434f-83b4-3271bb0c552a,41.939,-7.856,Turn Right / Lane Change Right
e6575151-52d3-4067-b706-f55f305e6952,34.951,-9.778,Turn Right / Lane Change Right
be66fd37-d9ec-4a02-be2b-23c46a35d21b,4.081,-0.011,Keep Lane / Straight
0da00f1b-64e1-45e3-8cdd-a55c1067de93,43.865,-6.019,Turn Right / Lane Change Right
692a9bf8-80b2-40b0-a8a9-1f44e3ecdc78,101.813,-0.392,Keep Lane / Straight
a1b7a757-d476-466d-b413-0aa520fb667b,32.059,0.300,Keep Lane / Straight
d5b6fdac-2a70-45a6-9a4c-b491467d1a9f,55.185,-31.727,Turn Right / Lane Change Right
bab9fedf-5a32-4301-8574-bb66617c793f,30.808,10.284,Turn Left / Lane Change Left
3655b0a0-39ec-4b04-b81f-fdc4a901d293,63.325,19.838,Turn Left / Lane Change Left
34074c5a-ae01-4a70-b586-c909a5a05983,36.249,5.661,Turn Left / Lane Change Left
f90c82ad-df03-4e12-9e76-f9d83f06d581,88.776,4.997,Turn Left / Lane Change Left
2696bb1c-bfef-4318-9d02-cffa41d3120a,82.172,-1.989,Keep Lane / Straight
9dad2d41-e027-4ac7-a5b9-2cebfac55539,95.472,-22.326,Turn Right / Lane Change Right
ac1c19f0-8a16-4370-9d94-16e44c03d2dc,29.465,0.085,Keep Lane / Straight
50cfab6a-c69b-4a76-a136-d26c77cef894,21.748,17.591,Turn Left / Lane Change Left
36b491e7-1db5-47b6-a2da-5cb85fb7baea,2.738,0.014,Keep Lane / Straight
3c664241-99db-4331-954d-c31398b725e3,58.890,0.289,Keep Lane / Straight
91a172d2-51f4-495b-98af-7e48bf93d417,24.281,22.023,Turn Left / Lane Change Left
1fdf162f-bab3-477c-bbc6-e00ff90da4f1,75.670,0.172,Keep Lane / Straight
cc32267a-b2b7-4630-bafb-f016fe97bd90,0.217,0.000,Keep Lane / Straight
547e74b0-6507-4cba-b82a-f8229762bfe3,61.115,4.500,Turn Left / Lane Change Left
0d78597d-ede1-460f-9e27-4d780a2cf3c9,7.242,-0.194,Keep Lane / Straight
f6030fbc-2f2f-4748-bdfc-90265f6503db,33.356,0.212,Keep Lane / Straight
936c554d-d0d0-4396-b34e-48c78b604d5f,28.712,-1.146,Keep Lane / Straight
09fea71f-1fb6-4a25-883c-5830c9397704,117.704,0.240,Keep Lane / Straight
75459f24-0e55-4722-be20-33bc27bc492f,42.878,-1.495,Keep Lane / Straight
99739bbd-540b-4fdc-a1c4-903a24e741ad,49.820,0.513,Keep Lane / Straight
5344afbd-7231-4f28-8a90-cac226bbb29b,61.894,-3.159,Turn Right / Lane Change Right
18922559-603c-4fca-95d5-68eb95c74101,48.484,-0.582,Keep Lane / Straight
366c3a25-5a5f-4b04-a8db-710fb61378ac,80.946,-27.851,Turn Right / Lane Change Right
f0b784f8-22f0-4634-a30b-e14c8649504b,65.778,-2.419,Keep Lane / Straight
adb155c5-d351-49ce-9bd1-e113f587e351,49.705,-0.688,Keep Lane / Straight
0b51aa6e-1413-4bff-ba39-378eb4a88daa,0.632,-0.000,Keep Lane / Straight
0c05b91e-2088-4015-bd3f-77cabc1de0b4,48.185,0.393,Keep Lane / Straight
f47efaff-1c1d-4132-80b6-7e83319c9167,2.213,0.032,Keep Lane / Straight
d8646d5a-9ccb-46d4-8f13-665dcfc835ad,27.002,0.846,Keep Lane / Straight
d51dfc5c-dedd-4e7d-8537-a6bcb04f6f67,120.934,-22.106,Turn Right / Lane Change Right
13351a90-6077-4add-ad4b-11b11e661dcf,65.603,-1.141,Keep Lane / Straight
ff451cf2-b6c8-421f-91b8-c9ce23d5098c,67.417,-0.900,Keep Lane / Straight
178bd5b3-ef04-4eb0-be13-486e5d660c05,7.198,0.052,Keep Lane / Straight
0f4d34b3-d190-44c0-8f3a-a60f1fda70bd,2.289,0.001,Keep Lane / Straight
d5816055-e490-49f5-87b0-13c35eaad879,0.000,0.000,Keep Lane / Straight
81180846-a4d0-439b-b773-901c15cb0ef6,84.328,-0.328,Keep Lane / Straight
0edc71a4-012e-4003-81c4-a85eadce3ed3,14.878,23.472,Turn Left / Lane Change Left
348ddc2a-53f1-40e6-849c-10306707fcb0,13.757,25.826,Turn Left / Lane Change Left
980b4881-e28e-46b3-81a8-b1b8a708e465,54.625,-32.917,Turn Right / Lane Change Right
3262b9c7-7d44-453a-ab59-0937f4bb43a7,65.375,13.088,Turn Left / Lane Change Left
2d8f83fd-2c3b-4efd-8f09-56a2189498b6,34.008,-0.874,Keep Lane / Straight
a79ab35e-bcbc-4e72-863a-414bb349fb39,32.926,-19.134,Turn Right / Lane Change Right
d61a8924-cac5-40d3-b0d5-9acbe5c5c057,9.166,-0.063,Keep Lane / Straight
27be7e8d-b96d-49b9-b692-9138cfdbe30d,38.799,35.426,Turn Left / Lane Change Left
